cityName,localityName,localityId,latitude,longitude,device_type
Delhi NCR,Sector 51,ZWL004159,28.430042,77.065213,1 - Automated weather system
Delhi NCR,Ballabhgarh,ZWL005960,28.343049,77.330317,2 - Rain gauge system
Delhi NCR,Nangloi,ZWL009293,28.659524,77.060800,1 - Automated weather system
Delhi NCR,Uttam Nagar,ZWL001663,28.616774,77.057136,1 - Automated weather system
Delhi NCR,Sector 47,ZWL005762,28.424524,77.050065,2 - Rain gauge system
Delhi NCR,Paharganj,ZWL005345,28.645112,77.212824,1 - Automated weather system
Delhi NCR,Sector 25,ZWL008225,28.484268,77.084693,1 - Automated weather system
Delhi NCR,Pitampura,ZWL001933,28.688724,77.138225,1 - Automated weather system
Delhi NCR,Shahdara,ZWL003591,28.688657,77.278267,1 - Automated weather system
Delhi NCR,Sector 31,ZWL007061,28.442946,77.057195,1 - Automated weather system
Delhi NCR,Sector 23,ZWL008476,28.509080,77.057138,1 - Automated weather system
Delhi NCR,Sector 12 (Noida),ZWL009008,28.599952,77.343188,1 - Automated weather system
Delhi NCR,Mayur Vihar Phase II,ZWL005323,28.613695,77.302775,1 - Automated weather system
Delhi NCR,Faridabad Sector 12-15,ZWL001412,28.394334,77.324016,1 - Automated weather system
Delhi NCR,DLF PHASE 1 (SECTOR 26),ZWL005925,28.477910,77.103843,1 - Automated weather system
Delhi NCR,Laxmi Nagar,ZWL008716,28.627366,77.279200,1 - Automated weather system
Delhi NCR,Karol Bagh,ZWL009339,28.647924,77.190463,1 - Automated weather system
Delhi NCR,Chhatarpur,ZWL009096,28.497203,77.171629,1 - Automated weather system
Delhi NCR,Paschim Vihar,ZWL006720,28.665591,77.098478,2 - Rain gauge system
Delhi NCR,"Sector 1, Noida",ZWL002908,28.573663,77.415427,1 - Automated weather system
Delhi NCR,South Extension I,ZWL001186,28.578498,77.223627,1 - Automated weather system
Delhi NCR,Sector 18,ZWL004789,28.495291,77.069729,1 - Automated weather system
Delhi NCR,Kamla Nagar,ZWL008978,28.676018,77.208446,1 - Automated weather system
Delhi NCR,Janakpuri,ZWL007903,28.623431,77.097814,2 - Rain gauge system
Delhi NCR,Vikaspuri,ZWL008897,28.645655,77.065922,1 - Automated weather system
Delhi NCR,Najafgarh,ZWL007431,28.607458,76.995980,2 - Rain gauge system
Delhi NCR,Mayur Vihar Phase 1,ZWL001112,28.609961,77.296133,1 - Automated weather system
Delhi NCR,Sez Noida 1,ZWL008649,28.507448,77.410089,2 - Rain gauge system
Delhi NCR,"Gulavali, Noida",ZWL006384,28.436941,77.456903,1 - Automated weather system
Delhi NCR,Sector 14,ZWL007840,28.471738,77.045472,1 - Automated weather system
Delhi NCR,Sector 76(Noida),ZWL002072,28.570828,77.390429,1 - Automated weather system
Delhi NCR,Green Park,ZWL003077,28.562981,77.209729,1 - Automated weather system
Delhi NCR,Munirka,ZWL005395,28.554395,77.172547,1 - Automated weather system
Delhi NCR,NEHRU PLACE,ZWL005729,28.555622,77.250890,1 - Automated weather system
Delhi NCR,Lajpat Nagar,ZWL005736,28.565415,77.247221,1 - Automated weather system
Delhi NCR,Sector 52 (Noida),ZWL007212,28.595742,77.362995,1 - Automated weather system
Delhi NCR,Sector 100 (Noida),ZWL004803,28.547583,77.370951,1 - Automated weather system
Delhi NCR,Sector 50,ZWL003444,28.418947,77.059581,1 - Automated weather system
Delhi NCR,Dilshad Garden,ZWL008293,28.684684,77.320986,1 - Automated weather system
Delhi NCR,"Sector 29, Gurgaon",ZWL007308,28.459498,77.061046,1 - Automated weather system
Delhi NCR,SUSHANT LOK 1,ZWL008219,28.467923,77.076530,1 - Automated weather system
Delhi NCR,SAHIBABAD,ZWL006234,28.682920,77.362827,1 - Automated weather system
Delhi NCR,Sector 45 (Noida),ZWL007666,28.555596,77.345713,1 - Automated weather system
Delhi NCR,Sector 84,ZWL002490,28.395433,76.967436,1 - Automated weather system
Delhi NCR,"Sector 7, Gurgaon",ZWL007138,28.476288,77.013365,1 - Automated weather system
Delhi NCR,Sector 27,ZWL009706,28.465260,77.085742,1 - Automated weather system
Delhi NCR,Hauz Khas,ZWL001267,28.551132,77.211401,1 - Automated weather system
Delhi NCR,Jangpura,ZWL003552,28.583630,77.246915,1 - Automated weather system
Delhi NCR,"Sector 52, Gurgaon",ZWL008401,28.443858,77.083991,1 - Automated weather system
Delhi NCR,"Vaishali, Ghaziabad",ZWL001758,28.649375,77.336609,1 - Automated weather system
Kolkata,Shibpur,ZWL003128,22.578477,88.315675,2 - Rain gauge system
Kolkata,"Kalyani 1, Kolkata",ZWL004322,22.983813,88.427417,2 - Rain gauge system
Kolkata,Bansdroni,ZWL002495,22.472208,88.357875,2 - Rain gauge system
Kolkata,Bow Barracks,ZWL009257,22.565476,88.360918,1 - Automated weather system
Kolkata,"Baranagar, Kolkata",ZWL005435,22.660464,88.374255,2 - Rain gauge system
Kolkata,"Sonarpur, Kolkata",ZWL007041,22.432033,88.408369,1 - Automated weather system
Kolkata,Ballygunge,ZWL002918,22.532686,88.362677,1 - Automated weather system
Kolkata,"Sinthi, Kolkata",ZWL003388,22.627697,88.380719,1 - Automated weather system
Kolkata,Salt Lake 2,ZWL008806,22.583560,88.432176,2 - Rain gauge system
Kolkata,Alipore,ZWL008635,22.536626,88.331142,1 - Automated weather system
Kolkata,Baguihati,ZWL002312,22.614990,88.426184,1 - Automated weather system
Kolkata,South Dum Dum,ZWL001499,22.621570,88.408915,1 - Automated weather system
Kolkata,Purba Barisha,ZWL003315,22.474612,88.320775,1 - Automated weather system
Kolkata,Jadavpur,ZWL003794,22.498720,88.362540,1 - Automated weather system
Kolkata,Tollygunge,ZWL006574,22.498620,88.351732,1 - Automated weather system
Kolkata,Shyam Bazar,ZWL004138,22.594302,88.377284,1 - Automated weather system
Kolkata,Behala,ZWL009022,22.488571,88.306630,2 - Rain gauge system
